Country,GDP22,Expectancy22,Pop22,GDP21Change,Expectancy21Change,Pop21Change,GDP21,Expectancy21,Pop21,GDP20Change,Expectancy20Change,Pop20Change,GDP20,Expectancy20,Pop20,Continent
Australia,9.646,85.4,26014400,-1.038,0,1.400,10.684,85.4,25655289,0.094,2.2,-0.128,10.59,83.2,25688079,Oceania
Austria,11.351,83.5,9052860,-0.034,-0.2,1.705,11.385,83.7,8901064,-0.711,2.4,-0.354,12.096,81.3,8932664,Europe
Belgium,10.94,83.9,11680000,-0.258,-0.4,1.367,11.198,84.3,11522440,0.155,3.5,-0.280,11.043,80.8,11554767,Europe
Canada,11.155,84,38939060,-1.88,0,2.717,13.035,84,37909001,0.701,2.3,-0.353,12.334,81.7,38043450,North America
Chile,9.002,84,19828560,-0.725,0.2,1.903,9.727,83.8,19458310,0.384,3,-1.118,9.343,80.8,19678363,South America
Colombia,8.068,80.1,50495180,-0.646,0.1,0.174,8.714,80,50407647,-0.304,3.3,-1.388,9.018,76.7,51117378,South America
Costa Rica,7.168,83.5,5211340,-0.657,0.2,1.959,7.825,83.3,5111233,0.256,2.7,-1.003,7.569,80.6,5163033,North America
Czechia,9.088,82,10687900,-0.126,1.5,-0.056,9.214,80.5,10693939,-0.275,2.2,-0.073,9.489,78.3,10701777,Europe
Denmark,9.497,83.2,5906000,-1.063,-0.1,1.430,10.56,83.3,5822763,-0.264,1.7,-0.296,10.824,81.6,5840045,Europe
Estonia,6.943,82.4,1331800,-0.636,1,0.219,7.579,81.4,1328889,0.088,2.5,-0.089,7.491,78.9,1330068,Europe
Finland,10.039,83.8,5556900,0.407,-0.8,0.572,9.632,84.6,5525292,-0.618,2.6,-0.154,10.25,82,5533793,Europe
France,12.102,85.2,68464000,-0.029,-0.3,1.699,12.131,85.5,67320216,-0.177,3.2,-0.497,12.308,82.3,67656682,Europe
Germany,12.655,83.3,83798000,-0.038,0,0.759,12.693,83.3,83166711,-0.241,2.2,0.014,12.934,81.1,83155031,Europe
Greece,8.588,83.3,10578580,-0.916,0.4,-1.306,9.504,82.9,10718565,0.331,1.5,0.374,9.173,81.4,10678632,Europe
Hungary,6.739,79.5,9683740,-0.549,1.7,-0.878,7.288,77.8,9769526,-0.088,2.1,0.398,7.376,75.7,9730772,Europe
Iceland,8.572,84.6,382000,-1.043,1.2,4.906,9.615,83.4,364134,-0.119,0.3,-1.263,9.734,83.1,368792,Europe
Ireland,6.071,84.3,5114710,-1.038,0,3.027,7.109,84.3,4964440,0.392,1.7,-0.837,6.717,82.6,5006324,Europe
Israel,7.427,84.9,9550950,-0.28,0.3,4.491,7.707,84.6,9140470,-0.198,1.9,-1.607,7.905,82.7,9289762,Asia
Italy,9.002,85,59013700,-0.623,0.1,-1.053,9.625,84.9,59641488,0.241,2.6,0.684,9.384,82.3,59236213,Europe
Japan,11.507,87.6,124947000,0.502,0,-0.967,11.005,87.6,126166948,-0.294,3,0.017,11.299,84.6,126146099,Asia
Korea,9.72,86.6,51628000,1.37,0,-0.402,8.35,86.6,51836239,-0.981,3.1,0.177,9.331,83.5,51744876,Asia
Latvia,8.843,78,1886230,1.602,0,-1.124,7.241,78,1907675,-1.804,2.5,0.763,9.045,75.5,1893223,Europe
Lithuania,7.462,80.3,2831640,-0.019,1.5,1.344,7.481,78.8,2794090,-0.342,3.7,-0.057,7.823,75.1,2795680,Europe
Luxembourg,5.456,85.3,655280,-0.286,0.5,4.659,5.742,84.8,626108,0.074,2.6,-1.358,5.668,82.2,634730,Europe
Mexico,5.483,78.2,128582100,-0.739,0,1.584,6.222,78.2,126577691,0.143,3,-0.950,6.079,75.2,127792286,North America
Netherlands,10.203,83.2,17701000,-1.006,0.2,1.686,11.209,83,17407585,-0.085,1.6,-0.388,11.294,81.4,17475415,Europe
New Zealand,11.208,84,5142000,1.519,0,1.016,9.689,84,5090270,-0.436,1.7,-0.412,10.125,82.3,5111330,Oceania
Norway,7.92,84.2,5457000,-3.329,-0.5,1.666,11.249,84.7,5367580,1.33,1.4,-0.441,9.919,83.3,5391369,Europe
Poland,6.678,84.3,37827000,0.181,4.7,-0.345,6.497,79.6,37958138,0.058,3.1,0.312,6.439,76.5,37840001,Europe
Portugal,10.624,84.5,10298890,0.076,0.1,0.029,10.548,84.4,10295909,-0.589,3.3,-0.023,11.137,81.1,10298252,Europe
Slovak Republic,7.753,80.6,5488890,0.626,2.4,0.568,7.127,78.2,5457873,-0.624,1.2,-0.035,7.751,77,5459781,Europe
Slovenia,8.847,84.1,2108590,-0.586,1.1,0.607,9.433,83,2095861,-0.045,2.4,-0.622,9.478,80.6,2108977,Europe
Spain,10.39,85.9,47807610,-0.356,-0.3,1.004,10.746,86.2,47332614,0.006,3.8,-0.139,10.74,82.4,47398695,Europe
Sweden,10.667,84.8,10486940,-0.666,-0.1,1.543,11.333,84.9,10327589,0.086,2.5,-0.498,11.247,82.4,10379295,Europe
Switzerland,11.339,85.4,8777090,-0.393,-0.4,1.988,11.732,85.8,8606033,-0.069,2.7,-0.741,11.801,83.1,8670300,Europe
Türkiye,4.276,85.4,84980000,-0.289,0,2.195,4.565,85.4,83154997,0.289,4.1,-0.549,4.276,81.3,83614362,Asia
United Kingdom,11.345,82.4,67791000,-0.814,0,1.142,12.159,82.4,67025542,-0.206,2,0.073,12.365,80.4,66976759,Europe
United States,16.634,79.3,333568000,-2.122,2.9,1.467,18.756,76.4,328744045,1.393,-0.6,-0.496,17.363,77,330382026,North America
